order_id,date,product_name,category,price,cost_price,quantity,store_location
1001,2024-02-01,Wireless Mouse,Electronics,599,399,10,Mumbai
1002,2024-02-03,Gaming Keyboard,Electronics,1299,999,5,Delhi
1003,2024-02-04,Laptop Stand,Accessories,899,499,8,Bangalore
1004,2024-02-07,USB-C Cable,Electronics,299,150,25,Chennai
1005,2024-02-08,Notebook,Stationery,99,60,40,Pune
1006,2024-03-01,Office Chair,Furniture,4999,3500,2,Mumbai
1007,2024-03-05,Pen Pack,Stationery,149,90,30,Delhi
1008,2024-03-06,Desk Lamp,Home Decor,799,550,4,Bangalore
1009,2024-03-10,Monitor 24",Electronics,7499,6200,1,Chennai
1010,2024-03-12,External Hard Drive,Electronics,3499,2800,3,Pune
1011,2024-04-01,Notebook,Stationery,99,60,60,Mumbai
1012,2024-04-05,Laptop Stand,Accessories,899,499,10,Delhi
1013,2024-04-07,Wireless Mouse,Electronics,599,399,15,Bangalore
1014,2024-04-10,USB-C Cable,Electronics,299,150,30,Chennai
1015,2024-04-12,Desk Lamp,Home Decor,799,550,6,Pune
1016,2024-05-02,Pen Pack,Stationery,149,90,50,Mumbai
1017,2024-05-06,Office Chair,Furniture,4999,3500,3,Delhi
1018,2024-05-08,External Hard Drive,Electronics,3499,2800,4,Bangalore
1019,2024-05-10,Monitor 24",Electronics,7499,6200,2,Chennai
1020,2024-05-15,Gaming Keyboard,Electronics,1299,999,6,Pune
1021,2024-06-01,Notebook,Stationery,99,60,80,Mumbai
1022,2024-06-05,Wireless Mouse,Electronics,599,399,20,Delhi
1023,2024-06-06,Laptop Stand,Accessories,899,499,12,Bangalore
1024,2024-06-10,USB-C Cable,Electronics,299,150,35,Chennai
1025,2024-06-12,Desk Lamp,Home Decor,799,550,8,Pune
1026,2024-07-01,Pen Pack,Stationery,149,90,60,Mumbai
1027,2024-07-03,Office Chair,Furniture,4999,3500,4,Delhi
1028,2024-07-04,Monitor 24",Electronics,7499,6200,3,Bangalore
1029,2024-07-06,Gaming Keyboard,Electronics,1299,999,7,Chennai
1030,2024-07-08,External Hard Drive,Electronics,3499,2800,5,Pune
